DIRECTORIO_MZ,DIRECTORIO_PRED,DIRECTORIO_HOG,DIRECTORIO_PER,periodo,SECTOR,Cod_Locali,Nom_Locali,Cod_UPL,Nom_UPL,A6x2,A6x3,C1,D1,E1,E1x1,G1,H1,C303,sexo_jefe,Ax201,Bx201,Cx201,Dx201,Ex201,Fx201,Gx201,Hx201,Ix201,Jx201,Ax202,ind_distribuciontareas_202,Jx402,Jx403,Kx404_1,Kx404_2,Kx404_3,Kx404_4,Kx404_5,Kx404_6,Lx404_1,Lx404_2,Lx404_3,Lx404_4,Lx404_5,Lx404_6,Mx404_1,Mx404_2,Mx404_3,Mx404_4,Mx404_5,Mx404_6,Nx404_1,Nx404_2,Nx404_3,Nx404_4,Nx404_5,Nx404_6,F405,G406,IPS_dia,IPS_noche,IPSJ_A,IPSJ_C,IPSJ_E,Dx704,ICG_D,Bx704,ICG_B,Ax102,Bx102,Cx102,Dx102,Ex102,Fx102,Gx102,A101,ind_salud_101,ind_salud_102,fexp_calp_anu,fexp_calh_anu
202504072,202504072010,20250407201001,2025040720100102,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,4,20,2,2,2,,6,2,2,2,1,6,1,8,1,1,1,,,4.0,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,3,6,3.0,,2.0,4.0,2.0,2,2.0,4,4.0,1,1,1,1,1,1,1,3,0,1,384.879841077299,79.849510910459
202504072,202504072011,20250407201101,2025040720110101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,0,41,6,2,2,,1,2,2,2,1,1,1,8,1,1,1,,,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,3.0,3.0,4.0,2.0,2.0,2,2.0,2,2.0,0,0,0,0,0,0,0,4,1,0,96.2199602693248,79.849510910459
202504072,202504072012,20250407201201,2025040720120101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,0,50,2,1,1,,5,2,2,1,1,6,1,8,1,1,1,1.0,1.0,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2.0,2.0,2.0,4.0,2.0,2,2.0,4,4.0,0,0,0,0,0,0,0,3,0,0,96.2199602693248,79.849510910459
202504072,202504072013,20250407201301,2025040720130101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,0,54,3,1,1,,1,2,2,1,1,1,1,8,1,1,1,,,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,4,4.0,4.0,2.0,3.0,2.0,2,2.0,2,2.0,0,0,0,0,0,0,0,3,0,0,96.2199602693248,79.849510910459
202504072,202504072014,20250407201401,2025040720140101,202504,Sector Sur Occidente,7,BOSA,UPL17,Bosa,0,21,5,2,2,,1,2,2,2,1,1,1,8,1,1,1,,,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,4,4.0,4.0,2.0,3.0,2.0,4,4.0,4,4.0,0,0,0,0,0,0,0,5,1,0,96.2199602693248,79.849510910459
202504073,202504073001,20250407300101,2025040730010101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,0,80,6,1,1,,6,2,2,1,4,5,4,8,4,4,1,,,8.0,2,1,2.0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,6,4.0,,4.0,2.0,1.0,2,2.0,4,4.0,0,0,0,0,0,1,0,5,1,0,107.05905511811,28.1711111111111
202504073,202504073002,20250407300201,2025040730020102,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,2,36,5,2,2,,1,2,1,2,4,6,1,8,1,1,4,8.0,8.0,8.0,4,3,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,2.0,1.0,2.0,2.0,2.0,3,3.0,4,4.0,1,2,1,2,0,1,1,3,0,1,71.3727034120735,28.1711111111111
202504073,202504073003,20250407300301,2025040730030101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,0,54,6,1,1,,1,2,2,1,1,1,1,8,1,1,1,,,,2,1,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,4.0,2.0,3.0,2.0,1.0,3,3.0,3,3.0,0,3,1,2,3,1,0,4,1,2,35.6863517060367,28.1711111111111
202504073,202504073004,20250407300401,2025040730040101,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,0,55,4,2,2,,2,2,2,2,1,2,1,8,1,1,1,,,8.0,4,3,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,3,3.0,3.0,2.0,2.0,2.0,2,2.0,4,4.0,3,1,1,1,2,1,1,3,0,2,107.05905511811,28.1711111111111
202504073,202504073005,20250407300501,2025040730050102,202504,Sector Sur Occidente,8,KENNEDY,UPL17,Bosa,1,53,5,2,2,,2,2,2,1,4,1,2,8,2,3,1,8.0,8.0,,1,1,2.0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,4.0,2.0,2.0,2.0,2.0,2,2.0,4,4.0,0,0,0,0,0,0,0,5,1,0,107.05905511811,28.1711111111111
