indice_pregunta;indice_variable;columna;codigo_variable;num_seccion;pregunta;titulo;tipo;etiqueta_orden;enunciado_2;etiqueta_enunciado;etiqueta_corta;en_cubo;tags;variable_nombre;unidad_medida
54;212;HE;P27.2;;27;;category;;Los asuntos públicos;Los asuntos públicos;;1;;;
55;213;HF;P28.1;;28;;category;a;El Concejo de Bogotá;a. El Concejo de Bogotá;;1;;;
55;214;HG;P28.2;;28;Confianza en la alcaldía mayor y entidades;category;b;La alcaldía Mayor y sus entidades;b. La alcaldía Mayor y sus entidades;;1;IndicadorI+C;;
55;215;HH;P28.3;;28;Confianza en los servidores del Distrito;category;c;Los servidores del Distrito;c. Los servidores del Distrito;;1;IndicadorI+C;;
55;216;HI;P28.4;;28;;category;d;Autoridades locales (Las alcaldías y JAL);d. Autoridades locales (Las alcaldías y JAL);;1;;;
55;217;HJ;P28.5;;28;;category;e;La Policía;e. La Policía;;1;;;
55;218;HK;P28.6;;28;;category;f;Organismos de control (Contraloría, Personería, Veeduría);f. Organismos de control (Contraloría, Personería, Veeduría);;1;;;
55;219;HL;P28.7;;28;;category;g;El Gobierno Nacional y sus instituciones;g. El Gobierno Nacional y sus instituciones;;1;;;
55;220;HM;P28.8;;28;;category;h;El Congreso de la República;h. El Congreso de la República;;1;;;
55;221;HN;P28.9;;28;;category;i;Los órganos judiciales;i. Los órganos judiciales;;1;;;
55;222;HO;P28.10;;28;;category;j;El Ejército;j. El Ejército;;1;;;
55;223;HP;P28.11;;28;;category;k;El Sistema Integrado de Transporte Público de Bogotá (SITP, TransMilenio, TransMiCable, Sitp);k. El Sistema Integrado de Transporte Público de Bogotá (SITP, TransMilenio, TransMiCable, Sitp);;1;;;
55;224;HQ;P28.12;;28;;category;l;Las empresas de servicios públicos domiciliarios;l. Las empresas de servicios públicos domiciliarios;;1;;;
56;225;HR;P29.1;;29;;category;a;El gobierno nacional;a. El gobierno nacional;;1;;;
56;226;HS;P29.2;;29;;category;b;La Alcaldía mayor y sus entidades;b. La Alcaldía mayor y sus entidades;;1;;;
56;227;HT;P29.3;;29;;category;c;El Concejo de Bogotá;c. El Concejo de Bogotá;;1;;;
56;228;HU;P29.4;;29;;category;d;Las Juntas Administradoras Locales;d. Las Juntas Administradoras Locales;;1;;;
57;229;HV;P30;;30;;category;;;;;1;;;
58;230;HW;P31.1;;31;;category;a;Cuando es la única alternativa que le queda a uno para alcanzar sus objetivos;a. Cuando es la única alternativa que le queda a uno para alcanzar sus objetivos;;1;;;
58;231;HX;P31.2;;31;;category;b;Cuando los demás lo hacen;b. Cuando los demás lo hacen;;1;;;
58;232;HY;P31.3;;31;;category;c;Cuando es lo acostumbrado;c. Cuando es lo acostumbrado;;1;;;
58;233;HZ;P31.4;;31;;category;d;Cuando se hace por necesidad;d. Cuando se hace por necesidad;;1;;;
58;234;IA;P31.5;;31;;category;e;Cuando es bastante seguro que uno no será castigado por incumplirla;e. Cuando es bastante seguro que uno no será castigado por incumplirla;;1;;;
58;235;IB;P31.6;;31;;category;f;Cuando se obra por desconocimiento de la ley;f. Cuando se obra por desconocimiento de la ley;;1;;;
58;236;IC;P31.7;;31;;category;g;Cuando favorezco a la gente mientras obtengo un beneficio individual;g. Cuando favorezco a la gente mientras obtengo un beneficio individual;;1;;;
58;237;ID;P31.8;;31;;category;h;Cuando alguien a quien uno considera ejemplo de comportamiento lo ha hecho;h. Cuando alguien a quien uno considera ejemplo de comportamiento lo ha hecho;;1;;;
58;238;IE;P31.9;;31;;category;i;Cuando la ley es injusta o vulnera los derechos;i. Cuando la ley es injusta o vulnera los derechos;;1;;;
59;239;IF;P32;;32;;category;;;;;1;;;
60;240;IG;P33;;33;;category;;;;;1;;;
61;241;IH;P34;;34;;category;;;;;1;;;
62;242;II;P35;;35;;category;;;;;1;;;
63;243;IJ;P36;;36;;category;;;;;1;;;
64;244;IK;P37;;37;Proporción personas en las que confiar;category;;;;;1;IndicadorI+C;;
65;245;IL;P38;;38;;category;;;;;1;;;
66;246;IM;P39.1;;39;;category;a;Haber pedido dinero para evitar poner una multa;a. Haber pedido dinero para evitar poner una multa;;1;;;
66;247;IN;P39.2;;39;;category;b;Haber pedido dinero para ayudar a hacer un trámite con una entidad pública;b. Haber pedido dinero para ayudar a hacer un trámite con una entidad pública;;1;;;
66;248;IO;P39.3;;39;;category;c;Haber ofrecido hacer algún fraude para evitar pagar impuestos;c. Haber ofrecido hacer algún fraude para evitar pagar impuestos;;1;;;
66;249;IP;P39.4;;39;;category;d;Haber ayudado a un familiar o a una persona cercana a obtener beneficios gracias a su cargo;d. Haber ayudado a un familiar o a una persona cercana a obtener beneficios gracias a su cargo;;1;;;
66;250;IQ;P39.5;;39;;category;e;Haber ofrecido favorecer a otra persona para salir bien librado frente a hechos judiciales;e. Haber ofrecido favorecer a otra persona para salir bien librado frente a hechos judiciales;;1;;;
67;251;IR;P40.1;;40;;category;a;Haber entregado dinero para evitar que le impongan una multa;a. Haber entregado dinero para evitar que le impongan una multa;;1;;;
67;252;IS;P40.2;;40;;category;b;Haber entregado dinero para pedir ayudar en un trámite con una entidad pública;b. Haber entregado dinero para pedir ayudar en un trámite con una entidad pública;;1;;;
67;253;IT;P40.3;;40;;category;c;Haber ayudado a hacer algún fraude en el pago de impuestos;c. Haber ayudado a hacer algún fraude en el pago de impuestos;;1;;;
67;254;IU;P40.4;;40;;category;d;Haber recibido un favor para lograr la impunidad de alguna persona.;d. Haber recibido un favor para lograr la impunidad de alguna persona.;;1;;;
68;255;IV;P41.1;;41;;category;a;La alcaldía y sus entidades (Secretarías, Institutos, Empresas, etc);a. La alcaldía y sus entidades (Secretarías, Institutos, Empresas, etc);;1;;;
68;256;IW;P41.2;;41;;category;b;Autoridades locales (Las alcaldías y JAL);b. Autoridades locales (Las alcaldías y JAL);;1;;;
68;257;IX;P41.3;;41;;category;c;El Concejo de Bogotá;c. El Concejo de Bogotá;;1;;;
68;258;IY;P41.4;;41;;category;d;Gremios, empresas u organizaciones privadas;d. Gremios, empresas u organizaciones privadas;;1;;;
69;259;IZ;P42.1;;42;;category;a;Falta de sanción a los corruptos;a. Falta de sanción a los corruptos;;1;;;
69;260;JA;P42.2;;42;;category;b;Vacíos o falta de claridad en la legislación;b. Vacíos o falta de claridad en la legislación;;1;;;
69;261;JB;P42.3;;42;;category;c;Ausencia de valores éticos;c. Ausencia de valores éticos;;1;;;
69;262;JC;P42.4;;42;;category;d;Presión de particulares sobre las entidades públicas;d. Presión de particulares sobre las entidades públicas;;1;;;
69;263;JD;P42.5;;42;;category;e;Presión de organizaciones criminales o grupos armados;e. Presión de organizaciones criminales o grupos armados;;1;;;
69;264;JE;P42.6;;42;;category;f;Presión de actores políticos sobre las entidades públicas;f. Presión de actores políticos sobre las entidades públicas;;1;;;
70;265;JF;P43;;43;;category;;;;;1;;;
71;266;JG;P44;;44;;category;;;;;1;;;
72;267;JH;P45;;45;;category;;;;;1;;;
73;268;JI;P46;;46;;category;;;;;1;;;
