num_seccion;indice_pregunta;nombre;descripcion;rol;codigo;etiqueta_1;enunciado_1;instruccion;palabras_clave;cantidad_variables;indice_pregunta_bis;num_seccion_bis;dataviz_display;dataviz_chart_type;dataviz_order_type;dataviz_palette
1;143;Sexo;;;;D1;Sexo;;;1;143;1;1;donut;frecuency;category
1;144;Género;;;;D2;Género;;;1;144;1;1;donut;frecuency;category
1;145;Edad;;;;D3;Edad;;;1;145;1;1;bar;answer;main
1;146;Grupo de edad;;;;D3.1;Grupo de edad;;;1;146;1;0;bar;frecuency;main
1;147;Lugar de nacimiento;;;;D4;Por favor dígame su lugar de nacimiento;;;1;147;1;1;donut;frecuency;category
1;148;Años viviendo en Bogotá;;;;D5;¿Desde hace cuántos años usted habita en esta ciudad?;Cantidad de años;;1;148;1;1;bar;answer;main
1;149;Motivo para venir a Bogotá;;;;D6;¿Cuál fue el principal motivo para venir a Bogotá?;;;1;149;1;1;bar;frecuency;main
1;150;Estado civil;;;;D7;¿Cuál es su estado civil?;;;1;150;1;1;bar;frecuency;main
1;151;Actividad de la persona encuestada;;;;D8;Usted actualmente se dedica a:;;;2;151;1;0;bar;frecuency;
1;152;;;;;D8.1;Cuál ?;;;0;152;1;0;bar;frecuency;
1;153;Nivel educativo;;;;D9;¿Cuál fue el nivel educativo más alto alcanzado por usted?;;;1;153;1;1;bar;answer;category
1;154;Grupo étnico, racial o cultural;;;;D10;¿Con cuál de los siguientes grupos étnicos, raciales y/o culturales se identifica usted?;;;1;154;1;1;bar;frecuency;main
1;155;Limitaciones permanentes;;;;D11;¿Usted tiene alguna limitación permanente para...?;;;10;155;1;1;bar-yes-selection;frecuency;yes_selection
1;156;Sobre sexualidad;;;;D12;Por último, ¿estaría dispuesto(a) a responder una pregunta sobre su sexualidad? Si NO está dispuesto(a), termine la encuesta.;Si dice estar dispuesto(a) a responder, por favor pásele el formulario al/la encuestado(a) y que sea él/ella quien marque las opciones libremente.;;12;156;1;0;;;
1;157;Autoidentificación;;;;D12;¿Usted se identifica como...? Por favor marque todas aquellas con las que más se identifica.;;;0;157;1;0;;;
1;158;Tenencia de hijos;;;;D13;¿Usted tiene hijos?;;;1;158;1;1;donut;frecuency;yes_no_desc
1;159;Nivel de ingreso;;;;D14;Su nivel de ingreso se encuentra entre:;;economía, finanzas, dinero;1;159;1;1;bar;answer;main
1;160;Factor;;;;R3;Factor;;;1;160;1;0;;;
1;161;Teléfonodelencuestado;;;;R4;Teléfonodelencuestado;;;0;161;1;0;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
