codigo_localidad,TAC_M,TAC_M_ic_inf,TAC_M_ic_sup,TAC_K,TAC_L,TAC_N,IPSJ_C_prom,IPSJ_C_ic_inf,IPSJ_C_ic_sup,IPSJ_A_prom,IPSJ_E_prom,IBA,ICG_B_prom,pct_carga_mujer,gad7_mod_sev,pobreza_subjetiva,IPS_noche_prom,vol_afronto_mujeres,oferta_total,oferta_100k,casos_admin,tasa_admin,RC_admin,RC_real,rank_admin,rank_real,delta_rank,INA,cuadrante,factor_roles,factor_culpabilizacion,factor_noinjerencia,n_muestral,cv_estimacion,publicable,en_encuesta
11,0.15783278925515662,0.134413595468938,0.18125198304137524,0.15873359613194798,0.12747481076300202,0.09381090316519997,2.924086593019388,,,2.533006410393453,2.1575945100389067,,3.136725039327879,,,,2.6703385116031093,89022.74120941845,13687.0,2105.2939213041223,629.0,96.75092251773896,21.75993640699523,153.74723148327337,5,8,3.0,33.1578947368421,IV,-0.1553573361546995,0.1841224411190943,-0.4990930815245197,1802.0,7.5703966930207605,True,True
12,0.15143870235318754,0.08222957155582218,0.22064783315055292,0.17693501921518814,0.13851054186554665,0.15941749628766216,2.9511883979623645,,,2.6858115703965253,2.1534884126576364,,3.319365479379053,,,,2.542676982878138,8879.58891201823,1637.0,2238.510030220569,82.0,112.13061849608226,19.963414634146343,184.3553813380228,8,4,-4.0,23.157894736842103,IV,-0.1987905732014227,0.0556242777174966,-0.3285711375875166,270.0,23.316880341929792,True,True
13,0.23887478310616678,0.1723009549943792,0.30544861121795436,0.24032464093084147,0.2097763190139274,0.20300284391923634,3.112130104024169,,,2.809543573168652,2.3395827184774305,,3.507270900400371,,,,2.7387012832188113,17524.39784667847,2020.0,2378.373286864786,75.0,88.30593886874205,26.933333333333334,115.26786926849334,2,15,13.0,60.52631578947368,I,0.2037010837656591,0.1348991234931584,-0.1019417584815066,335.0,14.219265169337088,True,True
14,0.31268943510657976,0.22585430460230735,0.39952456561085214,0.3323547484997522,0.207362973133079,0.1548231471364391,2.9030200982354954,,,2.4785355189300717,1.9420006512273247,,2.6950705537234323,,,,2.050852052073345,9606.877418801492,1184.0,2630.3512318663497,113.0,251.0385888521094,10.47787610619469,123.24504085820948,17,13,-4.0,87.36842105263158,I,0.2746414090535299,-0.2418687358345798,0.3109269955544872,239.0,14.168575282143145,True,True
15,0.14588188833232663,0.08939473938254844,0.2023690372821048,0.15510846921277877,0.13094702261694774,0.09715340618088449,2.9081091600308198,,,2.670593382081205,2.125645906487865,,3.169612675284694,,,,2.4925445708505687,4489.643729086359,1023.0,2416.3832199546487,69.0,162.98185941043084,14.826086956521738,227.85772362569628,11,2,-9.0,21.052631578947366,IV,0.1925185494788421,0.0745286738901383,0.0500186547787407,246.0,19.75569022544803,True,True
16,0.2252787454989487,0.17132920673215243,0.279228284265745,0.23403031710529515,0.21228841334760581,0.18024085320993335,2.8654453599140193,,,2.5703300536684868,2.1311513716038393,,3.2251910133230983,,,,2.5524522674801564,29372.789461904507,3059.0,2384.6831466280005,189.0,147.33740265207325,16.185185185185187,104.1440072951674,10,17,7.0,68.94736842105263,I,0.135969135316749,0.2169536563827293,-0.0435437969935632,378.0,12.218318607934076,True,True
17,0.2033269410661874,0.11334802460004817,0.29330585753232663,0.12317769458312416,0.14271982580882905,0.11383308454025796,2.972371067498606,,,2.5612027380875086,1.9091095914549994,,3.249956955487962,,,,2.6842719964899437,2372.7377994144144,352.0,4363.456055534895,76.0,942.1098301723069,4.631578947368421,148.35183225338793,20,9,-11.0,53.68421052631579,IV,0.1938833364461153,-0.4118191367771433,0.527863271405901,151.0,22.578223132252713,True,True
18,0.21974806714871906,0.18078105418572385,0.2587150801117143,0.17394604589653098,0.1834602214163489,0.14554649795880636,3.0228146083697895,,,2.4338038090545138,2.0523646785269904,,3.1008218383739217,,,,2.4482822503782256,37436.45345361955,5087.0,2637.1176775531367,456.0,236.3919129082426,11.155701754385966,135.88359822338256,15,10,-5.0,60.526315789473685,II,0.0376234783581341,0.2906256778910056,0.0054521823389682,716.0,9.047237284366053,True,True
19,0.28061435114849265,0.2415853195235228,0.3196433827734625,0.19100674083310298,0.300584909296802,0.18532433735909032,2.8127408680632366,,,2.548530785928774,2.1883818018355203,,3.0057936565014143,,,,2.2648002009518002,79525.09129264207,8105.0,2325.0677009225683,1142.0,327.60361683572773,7.0971978984238175,101.91751896485913,19,18,-1.0,75.26315789473684,I,-0.1958606038538342,-0.2889953635882508,-0.0549122262141923,858.0,7.096134305223853,True,True
20,,,,,,,,,,,,,,,,,,,150.0,8291.873963515754,0.0,0.0,inf,,1,,,,,,,,,,False,False
